run,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps
0,True,none,15.835205001989097,54.81383223091354,145186.16776908646,5.086166427214182,8.949999999999992,19046.130326859497,-0.6104605000020877,-12.910933498447775,False,2987.089066501552,-0.6104605000020877,-9.14816110656217,4.847916666666073,9.14816110656217,0.5540899152753683,0.0,0.0,point_mass,0.0,-9.14816110656217,-8.63464716751442,515.6395625563638
1,True,none,18.745357009213848,45.83004671387796,154169.95328612204,5.067254505850971,8.899999999999991,19337.022236626144,-1.411412570718559,-0.6884183622923956,False,2999.3115816377076,-1.411412570718559,-18.679464770612647,4.820833333332743,18.679464770612647,0.5357536088840474,0.0,0.0,point_mass,0.0,-18.679464770612647,-9.057175904888814,530.5480653686724
2,True,none,18.78779244514688,46.439023494220486,153560.97650577952,5.084821082781612,8.899999999999991,19926.817179083428,-0.4806314533730619,-17.640187211618922,False,2982.359812788381,-0.4806314533730619,-6.44778516290539,4.820833333332743,6.44778516290539,0.4844426448024148,0.0,0.0,point_mass,0.0,-6.44778516290539,-8.488084393077099,522.8577736710282
3,True,none,26.898671717108304,41.80409421668135,158195.90578331865,9.750532690012527,10.90000000000002,27122.095082185013,0.8274007962284606,4.70575558802966,False,4009.9386706857813,-3.9908398027851733,-149.01972891400348,5.904166666665944,149.01972891400348,9.884052001254545,0.0,0.0,point_mass,0.0,-149.01972891400348,-8.321641164894455,340.50981744385945
4,True,none,29.71330914721556,47.18152337936851,152818.4766206315,8.678591962994425,11.250000000000025,26064.848653791585,0.03544504985664007,6.573144009391399,False,4000.518896012492,2.486030202583472,-147.24538712182073,6.093749999999254,147.24538712182073,9.659301166434753,0.0,0.0,point_mass,0.0,-147.24538712182073,-7.98595035641461,345.0561645210848
5,True,none,15.790672620588438,51.962719236025094,148037.2807639749,5.01253821975296,8.949999999999992,20026.586366053358,0.1386408601207302,-6.3448663443750775,False,2993.655133655625,0.1386408601207302,-14.459211306102514,4.847916666666073,14.459211306102514,0.4632756782857331,0.0,0.0,point_mass,0.0,-14.459211306102514,-8.855986105161639,523.8662970364851
6,False,ground_intercept,233.2020565404648,-3.2020565404648096,143294.3685030669,5.426014915124653,8.349999999999984,18874.65206623773,-0.34363536735680983,-233.17723769878103,True,2766.822762301219,-0.34363536735680983,-3.3848055487158524,4.522916666666113,3.3848055487158524,0.4772591131894338,0.0,3.2020565404648096,point_mass,0.0,-3.3848055487158524,-8.133007448346042,511.82479473061244
7,True,none,13.8793411331836,54.99442629647045,145005.57370352955,4.847443956076124,9.049999999999994,19094.20912267095,-1.1179687851307205,-11.974178656918411,False,2988.0258213430816,-1.1179687851307205,-6.928585828215968,4.902083333332733,6.928585828215968,0.4542394160678758,0.0,0.0,point_mass,0.0,-6.928585828215968,-9.232288511351367,515.6860125916949
8,True,none,29.05577490372987,59.293973654654806,140706.0263453452,8.180416737215364,11.500000000000028,23861.97724846595,-0.5252234016072169,-5.534354484346295,False,4007.94234200117,5.299109469461313,-160.172733277715,6.229166666665904,160.172733277715,10.09362293063869,0.0,0.0,point_mass,0.0,-160.172733277715,-8.87453686971642,337.6435828286561
9,True,none,26.878513708170892,56.833358850477616,143166.6411495224,8.936406342565279,11.300000000000026,24424.05327905707,-0.5896282464648956,-0.3181834669321688,False,4004.105460647684,-2.7682299500516545,-146.8708587030664,6.120833333332584,146.8708587030664,9.712544331326438,0.0,0.0,point_mass,0.0,-146.8708587030664,-8.026961554958744,336.6749116332987
10,True,none,23.327546747313654,40.53190755440135,159468.09244559865,9.717026379485798,10.85000000000002,25581.109776917285,-0.06313368605686817,-12.42797022484001,False,4007.2796548392994,0.9458025697197691,-146.50260611958373,5.877083333332614,146.50260611958373,9.726397568416706,0.0,0.0,point_mass,0.0,-146.50260611958373,-8.467322153217667,346.9613748581849
11,False,ground_intercept,268.249236870669,-38.249236870668994,129588.77075924272,5.0583979745728636,8.549999999999986,17845.410168786817,-0.6739783185266426,-268.22894740054517,True,2731.771052599455,-0.6739783185266426,-3.229645695431296,4.631249999999433,3.229645695431296,0.4881219573462439,0.0,38.249236870668994,point_mass,0.0,-3.229645695431296,-8.663708037933652,486.0754644164459
12,True,none,18.69968153784255,57.27273961363532,142727.26038636468,5.146688491151047,8.949999999999992,19623.315034296833,1.0930512009186455,-5.023367070908989,False,2994.976632929091,1.0930512009186455,-17.979129899964768,4.847916666666073,17.979129899964768,0.5188160804105615,0.0,0.0,point_mass,0.0,-17.979129899964768,-9.07176099887157,515.9218898940492
13,True,none,6.618137788886608,50.518560800940236,149481.43919905977,5.266861088570104,8.899999999999991,20280.672203669073,-0.2865675511193667,1.8103488895872033,False,3001.810348889587,-0.2865675511193667,-6.359265974096755,4.820833333332743,6.359265974096755,0.4664075278110334,0.0,0.0,point_mass,0.0,-6.359265974096755,-8.479836884970311,519.1464253298947
14,True,none,34.0842914009422,68.42627395511329,131573.72604488672,8.549651708852762,11.65000000000003,25188.050654096056,-0.19187246133323294,2.9260757765841845,False,4011.286108451531,-3.0861893238046267,-182.7112589195541,6.310416666665894,182.7112589195541,10.65304298279798,0.0,0.0,point_mass,0.0,-182.7112589195541,-10.145802201067955,314.20589478753186
15,True,none,27.97810339474845,47.28099249124769,152719.00750875231,9.10275025740689,11.250000000000025,24095.282015230132,0.5643144451759188,0.2931307684843887,False,4000.959405704411,-13.394363029417145,-164.5485083801995,6.093749999999254,164.5485083801995,9.892522607384246,0.0,0.0,point_mass,0.0,-164.5485083801995,-9.243259503302689,334.51270114760655
16,True,none,14.814450774572206,41.20133312141043,158798.66687858957,5.396605620469037,8.74999999999999,20434.348717878886,0.39996395143473756,3.3782280481768794,False,3003.378228048177,0.39996395143473756,-14.418583697585792,4.739583333332753,14.418583697585792,0.5446124607378495,0.0,0.0,point_mass,0.0,-14.418583697585792,-7.8029518669080495,536.5011952447513
17,False,ground_intercept,233.8813678573829,-3.8813678573829122,134993.27283039378,5.150621312839894,8.499999999999986,19185.386111395957,1.3008060900087328,-233.86881792138365,True,2766.1311820786163,1.3008060900087328,-2.0440495129419554,4.604166666666103,2.0440495129419554,0.48857808157386595,0.0,3.8813678573829122,point_mass,0.0,-2.0440495129419554,-8.5840412457401,501.7918840087618
18,True,none,19.07873449001101,53.95477820872158,146045.22179127843,5.30261023632386,8.79999999999999,19489.99458540009,-0.5779562480595027,-18.87592696266165,False,2981.1240730373383,-0.5779562480595027,2.7135691654954006,4.766666666666083,0.0,0.4771575357653479,0.0,0.0,point_mass,0.0,2.7135691654954006,-8.06191235561539,524.5941758696474
19,True,none,26.371446032875138,53.935508697539014,146064.49130246099,9.594785522164953,11.300000000000026,26019.173760838214,0.020636331638754234,-11.729241875601929,False,4012.9319250734666,4.385949587963201,-150.43687748714135,6.120833333332584,150.43687748714135,10.009110738381194,0.0,0.0,point_mass,0.0,-150.43687748714135,-8.451876945762288,318.2415992025051
20,True,none,15.759703225887566,47.63083183461896,152369.16816538104,5.703792193746699,8.649999999999988,20813.659105432092,0.9474049553513264,-1.3869019952767303,False,2998.6130980047233,0.9474049553513264,-15.669944877826602,4.685416666666093,15.669944877826602,0.4849580874425958,0.0,0.0,point_mass,0.0,-15.669944877826602,-7.864664139200952,534.1065647675508
21,True,none,31.890521599458097,73.2414458541377,126758.5541458623,7.349895587746764,11.900000000000034,22391.548447554345,-2.657511376280572,1.7261359842768798,False,4001.0802192853644,-17.674019855644953,-189.876566833316,6.445833333332544,189.876566833316,10.290492454451709,0.0,0.0,point_mass,0.0,-189.876566833316,-10.668884184520731,332.2495950140194
22,True,none,20.974189706192686,54.22040062037206,145779.59937962794,5.147587198990235,8.999999999999993,19210.73533560623,0.38283100895035305,7.823062645900336,False,3007.8230626459003,0.38283100895035305,-19.456869354761675,4.874999999999403,19.456869354761675,0.5742705179309593,0.0,0.0,point_mass,0.0,-19.456869354761675,-8.233873940870078,512.0070786691613
23,True,none,34.04478800584572,63.23238149234932,136767.61850765068,7.990905249869268,11.60000000000003,23523.19795765675,0.21995198542797773,-3.054184840814287,False,4003.9754643945867,-3.1545389000250115,-173.53947460627268,6.283333333332564,173.53947460627268,9.979060785852836,0.0,0.0,point_mass,0.0,-173.53947460627268,-9.260891377508441,337.3141520070558
24,True,none,12.614121078280347,47.242405407107405,152757.5945928926,5.284258240611382,8.84999999999999,19718.30294755618,0.2320927840266442,-4.077086208739729,False,2995.9229137912603,0.2320927840266442,-11.934804211365329,4.793749999999413,11.934804211365329,0.5429134270386178,0.0,0.0,point_mass,0.0,-11.934804211365329,-7.884148771925248,523.5482144355321
25,False,ground_intercept,288.97096420047365,-58.970964200473645,128267.09342136922,4.631993882484919,8.699999999999989,17480.170976146044,0.04610939821915462,-288.9581515007949,True,2711.041848499205,0.04610939821915462,-2.7207914507492195,4.712499999999423,2.7207914507492195,0.5281965337508613,0.0,58.970964200473645,point_mass,0.0,-2.7207914507492195,-8.666512644449838,479.2928456077278
26,False,ground_intercept,278.9795572667114,-48.979557266711424,136970.51338090407,5.277314283203725,8.349999999999984,19744.0394134557,0.06047501027303918,-278.9622529031958,True,2721.037747096804,0.06047501027303918,-3.10663333479435,4.522916666666113,3.10663333479435,0.4811940259749026,0.0,48.979557266711424,point_mass,0.0,-3.10663333479435,-8.506832077139844,502.23837739643153
27,True,none,30.06585456913939,47.58656611851716,152413.43388148284,8.129807898326211,11.450000000000028,25024.478452571882,0.25877768922855704,-16.457790041873068,False,4007.4174023242654,-0.30807434730534955,-185.92553686890938,6.202083333332574,185.92553686890938,9.954325528783638,0.0,0.0,point_mass,0.0,-185.92553686890938,-10.596784278019527,343.83669185294974
28,False,ground_intercept,238.20194290394835,-8.20194290394835,142268.79138190128,5.149565778460787,8.449999999999985,18616.622426591428,-0.18736850908141253,-238.20098444053838,True,2761.7990155594616,-0.18736850908141253,-0.6492363329892972,4.577083333332773,0.6492363329892972,0.49447296297671617,0.0,8.20194290394835,point_mass,0.0,-0.6492363329892972,-8.209416970875555,508.54161562126814
29,True,none,20.26046868564561,58.90451857620996,141095.48142379004,4.879525052974029,9.149999999999995,19210.566646378655,0.03311485386650998,0.7577719692017126,False,3000.7577719692017,0.03311485386650998,-20.246265739912925,4.956249999999393,20.246265739912925,0.5358909578583407,0.0,0.0,point_mass,0.0,-20.246265739912925,-8.219794285452823,502.8080928315406
30,True,none,21.355660868854425,56.66657965384549,143333.4203461545,5.518891360504329,8.699999999999989,19874.899682348874,0.002320511930081943,-21.34752634756478,False,2978.652473652435,0.002320511930081943,0.5893764508122219,4.712499999999423,0.0,0.45331727554751666,0.0,0.0,point_mass,0.0,0.5893764508122219,-7.818259701482945,527.6864505584292
