run,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps
0,True,none,23.05589331632728,53.387728170999615,146612.27182900038,8.769572217874167,11.300000000000026,24927.54269125902,-0.34606722139331364,7.598515383376707,False,4000.5850392064785,-0.33526599133266693,-161.7928436781472,6.120833333332584,161.7928436781472,10.062660431062225,0.0,0.0,point_mass,0.0,-161.7928436781472,-9.62172014442988,335.04225598423653
1,True,none,36.96704916325419,49.11253853314259,150887.4614668574,9.481963428692008,10.95000000000002,27116.299883347387,-1.9302998110630119,8.23429620238494,False,4002.048734779332,11.818219126036578,-169.1129760370407,5.931249999999274,169.1129760370407,9.525767023763182,0.0,0.0,point_mass,0.0,-169.1129760370407,-8.937488441521717,350.5371394638934
2,True,none,22.611478814285284,54.26477087773554,145735.22912226446,5.280087123783997,8.899999999999991,20374.07652433498,-0.49160748347266386,9.100032600041231,False,3009.1000326000412,-0.49160748347266386,-20.693639190080916,4.820833333332743,20.693639190080916,0.5998229982556206,0.0,0.0,point_mass,0.0,-20.693639190080916,-7.575376199841395,519.7463731340999
3,True,none,25.937121931440288,53.27117164286217,146728.82835713783,8.877662047385494,11.250000000000025,25532.72168590768,1.147210396349877,5.33284270167178,False,4006.229188711876,3.1245741426044034,-161.14727907947724,6.093749999999254,161.14727907947724,10.029593062233737,0.0,0.0,point_mass,0.0,-161.14727907947724,-9.161031179405438,336.8858872128928
4,True,none,19.402732353376493,47.33862161283116,152661.37838716884,5.090110197550213,8.899999999999991,18501.43383031325,0.02001911040660618,-19.402227141110416,False,2980.5977728588896,0.02001911040660618,-0.13857841368614565,4.820833333332743,0.13857841368614565,0.422676199230285,0.0,0.0,point_mass,0.0,-0.13857841368614565,-8.866000878994187,521.7256513228596
5,True,none,24.92340302002276,50.8888542818109,149111.1457181891,8.549471146779798,11.350000000000026,24123.06827980006,0.47269308809374905,3.172759048795342,False,4012.122189901684,6.9546912421600275,-170.72102219251403,6.147916666665914,170.72102219251403,9.785869967093177,0.0,0.0,point_mass,0.0,-170.72102219251403,-9.692958532641871,343.67240022167323
6,True,none,27.038369736216733,52.414684984527675,147585.31501547233,8.48668491152549,11.350000000000026,24407.418626492614,-0.4967532478789628,4.048071619432449,False,4000.9317791582,0.5644971039935269,-172.4403351409739,6.147916666665914,172.4403351409739,10.011210016046595,0.0,0.0,point_mass,0.0,-172.4403351409739,-9.872542185578165,339.18562202703504
7,True,none,23.106885290161777,50.525700672426375,149474.29932757362,8.805294357975702,11.250000000000025,24949.723352390778,-0.8314496071445485,0.7345346813885953,False,4016.7672534032263,-6.822932236297408,-163.11625702251519,6.093749999999254,163.11625702251519,9.774592049084104,0.0,0.0,point_mass,0.0,-163.11625702251519,-9.242779101688061,343.73982801664783
8,True,none,27.819235054273832,52.48457242434408,147515.42757565592,8.902462879045038,11.200000000000024,25748.100363229754,-0.4154939940965058,-10.45402767941141,False,4008.704454886423,3.5588224484817035,-150.24333439301535,6.066666666665924,150.24333439301535,9.738238433522245,0.0,0.0,point_mass,0.0,-150.24333439301535,-8.299436651911051,343.15479249392337
9,True,none,30.93790128001876,59.59276994396036,140407.23005603964,9.06695853897449,11.300000000000026,26595.728890143047,-1.1846518703622775,-16.24440473530649,False,4005.5646376720842,-3.5906213422938444,-144.75486273834733,6.120833333332584,144.75486273834733,9.784565141098522,0.0,0.0,point_mass,0.0,-144.75486273834733,-7.808216573321955,332.2276560729386
