case,replicate,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
0,0,True,none,20.50953080106245,60.50712895893888,139492.87104106112,4.905435746548351,9.099999999999994,19579.54004945116,-0.019976810597901344,5.103381976475703,False,3005.1033819764757,-0.019976810597901344,-19.86443925735007,4.929166666666063,19.86443925735007,1.4,0.5089450970863251,0.0,0.0,point_mass,0.0,-19.86443925735007,-8.659947564331901,510.44190795576003,2000.0
0,1,True,none,11.670311560547077,44.00148348279379,155998.5165172062,5.513594115946312,8.699999999999989,19814.027916915107,-0.6756111932736926,-0.7147974060844717,False,2999.2852025939155,-0.6756111932736926,-11.628791257220888,4.712499999999423,11.628791257220888,1.4,0.4922843945833312,0.0,0.0,point_mass,0.0,-11.628791257220888,-7.840936285011451,536.6629775259177,2000.0
0,2,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,-15.682809825208551,False,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.4605325527507312,0.0,0.0,point_mass,0.0,1.341036756878232,-8.80749645155422,496.50658472266394,2000.0
0,3,True,none,31.517185398815606,51.465143265616646,148534.85673438336,9.487341827962542,11.150000000000023,25160.15861862703,-0.966869109555425,-1.1998098194299018,False,4001.09165404106,4.886170118512236,-154.38398041756017,6.039583333332594,154.38398041756017,1.4,9.857275330856753,0.0,0.0,point_mass,0.0,-154.38398041756017,-8.335867552307906,330.8694284439379,2000.0
0,4,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,6.69112919237341,False,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,10.321094925401203,0.0,0.0,point_mass,0.0,-153.70949362756048,-8.386145321468874,321.3703231109121,2000.0
0,5,True,none,25.06627279865086,60.17104148114892,139828.95851885108,8.301893161124788,11.400000000000027,24140.975150327795,0.005927078303836996,2.080925592483709,False,4012.353235150415,-2.1927896240525664,-149.65600112798137,6.174999999999244,149.65600112798137,1.4,9.757443161901737,0.0,0.0,point_mass,0.0,-149.65600112798137,-8.241101470780068,345.1220088501986,2000.0
1,0,True,none,11.670311560547077,44.00148348279379,155998.5165172062,5.513594115946312,8.699999999999989,19814.027916915107,-0.6756111932736926,-0.7147974060844717,False,2999.2852025939155,-0.6756111932736926,-11.628791257220888,4.712499999999423,11.628791257220888,1.4,0.4922843945833312,0.0,0.0,point_mass,0.0,-11.628791257220888,-7.840936285011451,536.6629775259177,2200.0
1,1,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,-15.682809825208551,False,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.4605325527507312,0.0,0.0,point_mass,0.0,1.341036756878232,-8.80749645155422,496.50658472266394,2200.0
1,2,True,none,31.517185398815606,51.465143265616646,148534.85673438336,9.487341827962542,11.150000000000023,25160.15861862703,-0.966869109555425,-1.1998098194299018,False,4001.09165404106,4.886170118512236,-154.38398041756017,6.039583333332594,154.38398041756017,1.4,9.857275330856753,0.0,0.0,point_mass,0.0,-154.38398041756017,-8.335867552307906,330.8694284439379,2200.0
1,3,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,6.69112919237341,False,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,10.321094925401203,0.0,0.0,point_mass,0.0,-153.70949362756048,-8.386145321468874,321.3703231109121,2200.0
1,4,True,none,25.06627279865086,60.17104148114892,139828.95851885108,8.301893161124788,11.400000000000027,24140.975150327795,0.005927078303836996,2.080925592483709,False,4012.353235150415,-2.1927896240525664,-149.65600112798137,6.174999999999244,149.65600112798137,1.4,9.757443161901737,0.0,0.0,point_mass,0.0,-149.65600112798137,-8.241101470780068,345.1220088501986,2200.0
1,5,True,none,15.256348566378806,61.88717953774406,138112.82046225594,5.112274491870611,8.949999999999992,19665.21240422585,-0.6548048060739035,-14.688971222505643,False,2985.3110287774944,-0.6548048060739035,-4.069585564795538,4.847916666666073,4.069585564795538,1.4,0.4450779935962123,0.0,0.0,point_mass,0.0,-4.069585564795538,-8.6538401917422,513.6953931947289,2200.0
2,0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,-15.682809825208551,False,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.4605325527507312,0.0,0.0,point_mass,0.0,1.341036756878232,-8.80749645155422,496.50658472266394,2400.0
2,1,True,none,31.517185398815606,51.465143265616646,148534.85673438336,9.487341827962542,11.150000000000023,25160.15861862703,-0.966869109555425,-1.1998098194299018,False,4001.09165404106,4.886170118512236,-154.38398041756017,6.039583333332594,154.38398041756017,1.4,9.857275330856753,0.0,0.0,point_mass,0.0,-154.38398041756017,-8.335867552307906,330.8694284439379,2400.0
2,2,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,6.69112919237341,False,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,10.321094925401203,0.0,0.0,point_mass,0.0,-153.70949362756048,-8.386145321468874,321.3703231109121,2400.0
2,3,True,none,25.06627279865086,60.17104148114892,139828.95851885108,8.301893161124788,11.400000000000027,24140.975150327795,0.005927078303836996,2.080925592483709,False,4012.353235150415,-2.1927896240525664,-149.65600112798137,6.174999999999244,149.65600112798137,1.4,9.757443161901737,0.0,0.0,point_mass,0.0,-149.65600112798137,-8.241101470780068,345.1220088501986,2400.0
2,4,True,none,15.256348566378806,61.88717953774406,138112.82046225594,5.112274491870611,8.949999999999992,19665.21240422585,-0.6548048060739035,-14.688971222505643,False,2985.3110287774944,-0.6548048060739035,-4.069585564795538,4.847916666666073,4.069585564795538,1.4,0.4450779935962123,0.0,0.0,point_mass,0.0,-4.069585564795538,-8.6538401917422,513.6953931947289,2400.0
