success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,optimizer_score,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,5.030862015265302,47.29849403958023,152701.50596041977,5.329067961522249,8.79999999999999,19946.353225232506,10.312207786580773,0,0.0,-4.990188777291223,False,2995.009811222709,0.0,-0.6384266470284476,5.546823840616639,0,0.6384266470284476,1.4999039749022158,0.40195633175563505,0.0,0.0,point_mass,17.882441134560775,0.0,-0.6384266470284476,-9.138309351082276,528.7325600688695,2266.6310483218826
True,none,33.97011095739052,67.78451251832433,132215.48748167566,7.783610779974488,11.850000000000033,23284.51589335768,12.143456657199321,1,0.0,4.751034263341353,False,4014.7962892057044,0.0,-173.79092553741145,6.342922132828562,0,173.79092553741145,2.355383672193157,10.589704395847637,0.0,0.0,point_mass,47.08694997299955,0.0,-173.79092553741145,-9.468734975003091,320.8773848406485,1964.9380500723778
True,none,26.78077927851363,33.96364301541195,166036.35698458806,10.003960560941916,10.650000000000016,23858.003030223797,9.62892203205732,2,0.0,-7.844832011687231,False,4009.168457407341,0.0,-143.56661341694883,6.5,0,143.56661341694883,2.775344295719849,9.015279682056532,0.0,0.0,point_mass,45.544235856425644,0.0,-143.56661341694883,-7.717474784279834,431.10160870098264,2472.331920230446
True,none,20.517864049283542,54.34469291590102,145655.30708409898,5.083477722031236,8.999999999999993,19478.159629042806,11.41724839484902,3,0.0,6.7548210797076536,False,3006.7548210797077,0.0,-19.374084167413415,5.1238265102820435,0,19.374084167413415,2.006837321042994,0.5241013327208743,0.0,0.0,point_mass,31.844319740941202,0.0,-19.374084167413415,-8.44899938952534,515.5949788478234,2164.239958782532
True,none,17.93756501465679,40.15455167913015,159845.44832086985,5.661668252547625,8.649999999999988,20786.949395673255,12.532569813641363,4,0.0,7.184208145691173,False,3007.184208145691,0.0,-16.436039424825672,4.486310536152381,0,16.436039424825672,2.141635183817936,0.4829870051209029,0.0,0.0,point_mass,32.701331658460525,0.0,-16.436039424825672,-8.111655506437806,540.3562724615529,2403.115537072049
False,ground_intercept,281.04008241559956,-51.04008241559956,130944.80052068204,4.895582113480694,8.549999999999986,17809.701959024933,10.597179198084456,5,0.0,-281.03957436856535,True,2718.9604256314346,0.0,-0.5343808591238406,5.2443201120960765,0,0.5343808591238406,2.965967194948124,0.5180528479607172,0.0,51.04008241559956,point_mass,306.50579673696444,0.0,-0.5343808591238406,-8.224354472788264,489.6199059880642,2083.0060770789405
True,none,28.684270325136282,49.74447810313784,150255.52189686216,8.87629674252273,11.200000000000024,25178.15377327308,11.685462939989254,6,0.0,-6.2686273316517145,False,4010.92599166108,0.0,-156.32084803893508,6.229962849899039,0,156.32084803893508,2.5878631530493132,9.854765240992217,0.0,0.0,point_mass,46.40075238293869,0.0,-156.32084803893508,-8.529411038168409,342.5616297093767,2248.0494440422285
True,none,16.730676670710665,67.09757284642727,132902.42715357273,4.548157758290043,9.349999999999998,18172.33827974386,10.027103331214166,7,0.0,1.2484920938354662,False,3001.2484920938355,0.0,-16.684028570806646,6.061072474521566,0,16.684028570806646,1.661546628866859,0.5007712778598581,0.0,0.0,point_mass,24.838379023490436,0.0,-16.684028570806646,-9.131275289952823,492.67429301050254,1943.565591416458
True,none,22.634236143205893,43.06125782658794,156938.74217341206,5.540834127655587,8.649999999999988,20355.089564120248,10.90699295648947,8,0.0,-21.57072717512483,False,2978.429272824875,0.0,-6.856557075000477,5.154949693677651,0,6.856557075000477,1.8868553881692747,0.4201780412452058,0.0,0.0,point_mass,36.53013703333795,0.0,-6.856557075000477,-8.580105011129529,535.8796978331752,2353.189544985005
False,ground_intercept,251.69241486329022,-21.692414863290225,128228.1182393067,4.782692382480632,8.699999999999989,17734.274126639535,12.781898449436717,9,0.0,-251.69238567319098,True,2748.307614326809,0.0,-0.12121820113170712,4.424225417194876,0,0.12121820113170712,2.6793444429032687,0.506970271882409,0.0,21.692414863290225,point_mass,272.68055121942325,0.0,-0.12121820113170712,-8.488953948942632,484.4835769995151,2038.4223134068384
