case,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,drag_cd,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,mass_kg,miss_violation_m,mission_model,qbar_violation_pa,sensor_noise_m,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n,wind_x_mps,wind_z_mps
20,False,ground_intercept,268.5713100594978,-38.57131005949782,105273.62486500987,3.890262033570924,9.5,17575.0,0.0,-268.56236421958056,0.32,True,2731.4376357804194,0.0,-2.1920565376508794,5.145833333332703,2.1920565376508794,1.65,0.48547767484540727,0.0,45.0,38.57131005949782,point_mass,0.0,0.0,-2.1920565376508794,-9.91032071108044,421.59804555564045,1850.0,-18.0,-5.0
21,False,ground_intercept,268.79365229972166,-38.79365229972166,105188.13827223096,3.889179959486022,9.5,17575.0,-2.4772441265048615,-268.76990667289647,0.32,True,2731.2300933271035,-2.4772441265048615,-2.5744990199823774,5.145833333332703,2.5744990199823774,1.65,0.5005174742640562,0.0,45.0,38.79365229972166,point_mass,0.0,18.0,-2.5744990199823774,-9.794206917966124,421.4007876427119,1850.0,-18.0,-5.0
22,False,ground_intercept,438.033167305515,-208.033167305515,100916.38310853906,3.906378473418543,9.099999999999994,16835.0,0.0,-438.0285670190101,0.32,True,2561.97143298099,0.0,-2.007519607355296,4.929166666666063,2.007519607355296,2.85,0.5812196846877579,0.0,45.0,208.033167305515,point_mass,0.0,0.0,-2.007519607355296,-9.25594887175478,412.3892532998494,1850.0,-18.0,-5.0
23,False,ground_intercept,438.0714503933374,-208.0714503933374,100912.6544561144,3.90767350453985,9.099999999999994,16835.0,0.614363825486536,-438.0683010312214,0.32,True,2561.9316989687786,0.614363825486536,-1.5433205860685049,4.929166666666063,1.5433205860685049,2.85,0.5862002938542578,0.0,45.0,208.0714503933374,point_mass,0.0,18.0,-1.5433205860685049,-9.27562683118035,412.4027508128296,1850.0,-18.0,-5.0
24,True,none,2.177894115658146,19.34109295772534,180658.90704227466,5.628259706704526,8.549999999999986,21802.5,0.0,2.074282972167566,0.16,False,3002.0742829721676,0.0,0.6637566801125736,4.631249999999433,0.0,1.65,0.40106909894801474,0.0,45.0,0.0,point_mass,0.0,0.0,0.6637566801125736,-8.934077766057632,558.3114566489282,2550.0,-18.0,-5.0
25,True,none,2.81646709453006,19.423663708789594,180576.3362912104,5.627628787995422,8.549999999999986,21802.5,2.1054811631100656,1.8644675311652463,0.16,False,3001.8644675311652,2.1054811631100656,-0.15230492963083897,4.631249999999433,0.15230492963083897,1.65,0.4879975011496256,0.0,45.0,0.0,point_mass,0.0,18.0,-0.15230492963083897,-9.130902017604507,557.7495240336838,2550.0,-18.0,-5.0
26,True,none,27.90031643222732,19.38067893520239,180619.3210647976,8.62559459966284,10.700000000000017,27285.0,0.0,-3.1074896133045513,0.16,False,4018.8086506171085,0.0,-151.313591674091,5.795833333332624,151.313591674091,2.85,9.07589257968987,0.0,45.0,0.0,point_mass,0.0,0.0,-151.313591674091,-7.983318620346149,392.5813467713612,2550.0,-18.0,-5.0
27,True,none,29.51182098900847,20.611968245204828,179388.03175479517,8.604571203630622,10.700000000000017,27285.0,0.5725311073827051,-3.5218480156754595,0.16,False,4016.7861062197794,-5.166866695534168,-146.49913368185125,5.795833333332624,146.49913368185125,2.85,9.154707738260907,0.0,45.0,0.0,point_mass,0.0,18.0,-146.49913368185125,-7.611991711967654,391.59178173186615,2550.0,-18.0,-5.0
28,True,none,24.175949525431946,50.36650678505926,149633.49321494074,10.042190894754137,11.500000000000028,29325.0,0.0,-15.00648507823098,0.32,False,4011.5523383989444,0.0,-167.17018750373043,6.229166666665904,167.17018750373043,1.65,10.654297274220934,0.0,45.0,0.0,point_mass,0.0,0.0,-167.17018750373043,-10.226412409625555,287.69567800088214,2550.0,-18.0,-5.0
29,True,none,24.478518845197595,49.67767210366065,150322.32789633935,10.075806695043493,11.450000000000028,29197.5,0.6545304219468394,-15.116973210220294,0.32,False,4012.3390956042913,-5.962512346121917,-168.84947945321247,6.202083333332574,168.84947945321247,1.65,10.265797497673613,0.0,45.0,0.0,point_mass,0.0,18.0,-168.84947945321247,-10.116045063223877,297.34439409638395,2550.0,-18.0,-5.0
30,False,ground_intercept,313.9508506711353,-83.9508506711353,139110.0145561368,5.483039906020202,8.299999999999983,21165.0,0.0,-313.9432721533576,0.32,True,2686.0567278466424,0.0,-2.1814001861982657,4.495833333332783,2.1814001861982657,2.85,0.47037458657174347,0.0,45.0,83.9508506711353,point_mass,0.0,0.0,-2.1814001861982657,-8.006838846721125,487.17311962492465,2550.0,-18.0,-5.0
31,False,ground_intercept,338.32191139258487,-108.32191139258487,138257.96969421086,5.482544218353772,8.249999999999982,21037.5,0.908590143498442,-338.320626464968,0.32,True,2661.679373535032,0.908590143498442,-0.20952478317925927,4.468749999999453,0.20952478317925927,2.85,0.47920358109893996,0.0,45.0,108.32191139258487,point_mass,0.0,18.0,-0.20952478317925927,-8.012072535049713,485.68215867145386,2550.0,-18.0,-5.0
