run,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps
0,True,none,28.986123703564843,45.42376559591832,154576.23440408168,8.384789764799079,11.000000000000021,24152.326838618756,-0.8892506155255365,7.9905453446617685,False,4006.751159891805,4.883933330583329,-157.0345799082628,5.958333333332604,157.0345799082628,9.418789618621586,0.0,0.0,point_mass,0.0,-157.0345799082628,-8.60210247448802,373.24433811634526
1,True,none,26.632617392167255,49.05778913510099,150942.210864899,8.616392550015858,11.200000000000024,23785.121047815264,-1.6241598123130856,-16.20132079836185,False,4015.6157877494875,3.9669901430353898,-177.28917847202624,6.066666666665924,177.28917847202624,9.73133816569806,0.0,0.0,point_mass,0.0,-177.28917847202624,-10.17827038016255,352.878449022627
2,True,none,16.816654772299735,44.67991792975608,155320.08207024392,5.375579127953407,8.74999999999999,19968.68293976583,-0.690646648961381,0.6295787181097694,False,3000.6295787181098,-0.690646648961381,-16.790667514267952,4.739583333332753,16.790667514267952,0.6593554993813763,0.0,0.0,point_mass,0.0,-16.790667514267952,-7.670963592067436,535.2992540824189
3,True,none,21.837433115269942,50.923727177850814,149076.27282214919,5.29522179716037,8.79999999999999,20420.69180959673,1.4217963292225828,-10.878440281504936,False,2989.121559718495,1.4217963292225828,-18.88151257987104,4.766666666666083,18.88151257987104,0.5641012667476657,0.0,0.0,point_mass,0.0,-18.88151257987104,-8.459881302281554,529.5111511040706
4,True,none,16.10280387643757,62.43627190476982,137563.72809523018,4.762516876956906,9.199999999999996,18608.450096300337,0.1032950670497473,0.2051768798073681,False,3000.2051768798074,0.1032950670497473,-16.101165338574987,4.983333333332723,16.101165338574987,0.531369226997826,0.0,0.0,point_mass,0.0,-16.101165338574987,-8.551019971540901,501.6509963835174
5,True,none,33.382816989050795,41.78703144701009,158212.9685529899,8.791710091597343,10.95000000000002,24439.82636143256,0.6846760193447714,-13.273818330730137,False,4010.2204960479175,12.083443358175249,-161.5385243178686,5.931249999999274,161.5385243178686,9.345830246705694,0.0,0.0,point_mass,0.0,-161.5385243178686,-8.431221069030837,368.34874557644287
6,True,none,15.680264007494761,39.80194558930251,160198.05441069748,5.4675775373923825,8.699999999999989,19589.152627828553,-0.5568446325062952,4.48559754970438,False,3004.4855975497044,-0.5568446325062952,-15.01466010344792,4.712499999999423,15.01466010344792,0.4784769015480114,0.0,0.0,point_mass,0.0,-15.01466010344792,-8.72004324565127,541.9344390893121
7,True,none,31.825812097787075,53.07474100312076,146925.25899687925,8.380767058918643,11.300000000000026,23727.93259711685,-1.4350200079347573,-16.528040635897923,False,4008.6980366913313,-8.042097064600963,-162.7054431141739,6.120833333332584,162.7054431141739,9.666318746987212,0.0,0.0,point_mass,0.0,-162.7054431141739,-8.742372256768233,351.0481471728718
8,True,none,30.308316108019252,47.326405292297366,152673.59470770264,9.331602824783802,11.050000000000022,26067.81192894286,-0.30291518239664417,2.9612034861429493,False,4000.883689604474,3.440768596771469,-145.15465710205066,5.985416666665934,145.15465710205066,9.774009836110558,0.0,0.0,point_mass,0.0,-145.15465710205066,-7.842513097721107,340.592611222823
9,True,none,12.868936914935258,41.154188554723255,158845.81144527675,5.493879552862522,8.699999999999989,19684.790277340795,-0.8723218908986664,4.341611579975506,False,3004.3416115799755,-0.8723218908986664,-12.083004623348655,4.712499999999423,12.083004623348655,0.4612928670440531,0.0,0.0,point_mass,0.0,-12.083004623348655,-8.163577565871499,540.1034082420258
