case,failed,final_x_m,final_z_m,guidance_gain,impulse_n_s,max_qbar_pa,miss_distance_m,success,thrust_n,time_of_flight_s
0,False,4000.26861605432,-514.4005725315704,1.4,11672.5,74555.44380070364,243.79601494487773,False,1450.0,13.650000000000059
1,False,4008.762063736632,-469.52527115420565,1.4,12558.0,81457.77997468105,222.1408993338582,True,1560.0,13.200000000000053
2,False,4002.742658905162,-428.30171620951626,1.4,13443.5,88609.35049499111,204.22029143492026,True,1670.0,12.750000000000046
3,False,4015.1841112925467,-513.1247675693817,1.8,11672.5,74449.3235600074,241.16741739417424,False,1450.0,13.70000000000006
4,False,4008.372325378396,-464.88881926537226,1.8,12558.0,81376.763772506,220.16972826527183,True,1560.0,13.200000000000053
5,False,4002.010540897014,-422.26298250822737,1.8,13443.5,88466.24125051915,202.03076146706636,True,1670.0,12.750000000000046
6,False,4014.598161859703,-508.34897205190157,2.2,11672.5,74357.836396753,239.34726062649082,False,1450.0,13.70000000000006
7,False,4007.4892995500527,-458.41643097526406,2.2,12558.0,81227.83693978787,217.6540513187347,True,1560.0,13.200000000000053
8,False,4001.4207432865924,-417.2855737858945,2.2,13443.5,88359.9803612835,200.0410851921596,True,1670.0,12.750000000000046
9,False,4013.90776745971,-501.7235013663442,2.6,11672.5,74245.22414949255,236.33144253960546,False,1450.0,13.70000000000006
10,False,4006.9343190030772,-453.7612972432721,2.6,12558.0,81141.71947607878,215.57168178591297,True,1560.0,13.200000000000053
11,False,4000.833459604668,-413.27156888794883,2.6,13443.5,88266.33254053173,198.48303145467108,True,1670.0,12.750000000000046
12,False,4013.097338984518,-494.8131795911581,3.0,11672.5,74127.58552903161,232.98373966576568,False,1450.0,13.70000000000006
13,False,4006.069379269085,-447.40446763838355,3.0,12558.0,81013.3419174925,212.74530170738285,True,1560.0,13.200000000000053
14,False,4000.001132253823,-405.81894649420565,3.0,13443.5,88120.7243265326,195.00213579888978,True,1670.0,12.750000000000046
