failed,final_x_m,final_z_m,impulse_n_s,max_qbar_pa,miss_distance_m,run,success,time_of_flight_s
False,4012.456605924876,-467.90646030747484,12768.610294399708,85083.15498681564,220.3830125545251,95,True,13.250000000000053
False,4013.845790721254,-428.4483701180437,13321.253009770144,88435.12134053659,199.08339723912025,96,True,12.900000000000048
False,4009.0830234014948,-449.2815091085391,12366.261979571427,83405.4002032718,205.98251541570875,97,True,13.350000000000055
False,4015.4607427943697,-496.601718381699,12266.719720465846,78963.27182552406,230.33633701107445,98,False,13.650000000000059
False,4011.016981184831,-515.0529129316776,12138.900371279504,77251.93635078936,242.5859196159012,99,False,13.600000000000058
False,4010.220308776588,-407.6154073266409,13199.820779213303,91440.39313458625,189.28806977912623,100,True,12.750000000000046
False,4009.9006096265975,-454.7008552102713,12797.059545878674,83264.38782870116,213.7055706022632,101,True,13.05000000000005
False,4000.4108865172952,-503.5285227820705,12041.877192330418,78145.3716763619,236.61563168356696,102,False,13.550000000000058
False,4003.8969356140974,-498.9986911423067,12013.409990713808,73804.89617588672,234.20294269710917,103,False,13.600000000000058
False,4012.2656593936467,-573.0163997897074,11339.892932748635,74171.8387027062,264.0581451688984,104,False,14.300000000000068
False,4004.4341411155683,-482.5796285526168,12574.06294036239,82281.56031109513,227.3876979673071,105,True,13.400000000000055
False,4002.1148382621927,-490.4908257319734,12107.479590062485,77448.62963924822,229.92528331505704,106,True,13.500000000000057
False,4006.3241391768956,-395.044067760601,13412.35564697823,87001.95216517571,183.41799222874909,107,True,12.750000000000046
False,4008.462528720542,-482.3570233561559,12203.403681819016,79871.00006478322,222.03121614523727,108,True,13.600000000000058
False,4005.926471993458,-449.16190422063505,13388.472933747256,86131.51114554166,209.31408757571094,109,True,13.200000000000053
False,4014.3684829134145,-452.82710951356347,11938.704644663785,79547.47119575723,204.86915494537806,110,True,13.400000000000055
False,4007.6875015248,-454.54030041477347,12692.335393803123,81238.31479501796,209.73877731228862,111,True,13.300000000000054
False,4001.9527882324505,-513.0903085082033,11226.585666965077,70361.31657535645,240.09753226451542,112,False,13.850000000000062
False,4009.7138495199515,-427.8113023564971,13297.157029725862,85724.90724600786,199.81295241659527,113,True,12.850000000000048
False,4006.585794937745,-544.8587658972205,11222.025397632407,69832.84437121634,257.43527033077027,114,False,13.900000000000063
False,4004.303235230835,-400.7247139640471,13377.563385621892,91202.60307087978,189.55180775287118,115,True,12.550000000000043
False,4005.658772414855,-412.306922841728,13151.409594234678,88404.78171434398,189.3256303647583,116,True,12.900000000000048
False,4009.343868006416,-501.06226606097744,12191.875289824062,74010.68533957176,237.11656428672714,117,False,13.400000000000055
False,4013.2876826957413,-484.7922553116944,12556.41957770164,78807.48476617651,225.08796472427096,118,True,13.450000000000056
False,4010.7368458896963,-521.5121100949407,12152.587722632696,75725.10346649456,242.78735484490838,119,False,13.75000000000006
False,4006.565435333937,-505.475035535709,11981.7451562095,79642.64158250562,237.31008482670825,120,False,13.500000000000057
False,4006.443002731967,-451.45045722346055,13115.850691857224,83612.07970748264,211.5160750098641,121,True,13.05000000000005
False,4008.1263270860168,-429.87575921240887,13084.78980562358,87281.76584540177,205.3451349866966,122,True,12.750000000000046
False,4009.7764889068026,-390.7473937618438,13521.213718952737,94276.50527296324,183.13252872421495,123,True,12.500000000000043
False,4010.5492361983056,-492.0664700648221,11413.07579340969,76184.57420394805,229.0270151170985,124,True,13.600000000000058
False,4014.1231428093406,-456.79621305493805,12643.224948405397,85662.6536437646,212.5140379537219,125,True,13.150000000000052
False,4000.5808669353805,-537.3198460595513,11078.94777760601,69234.67737084288,249.899761261763,126,False,14.100000000000065
False,4005.6840052171056,-457.8342531117413,12864.411834706063,83529.3337919791,218.19075605697734,127,True,13.100000000000051
False,4004.6821819842703,-448.03754845740514,13290.617069551514,86098.77076995456,208.92094416883458,128,True,13.100000000000051
False,4013.2988836325826,-489.25037872082373,12306.035935203761,78391.3040123893,228.56089266728827,129,True,13.450000000000056
False,4013.22131379521,-521.7677913575258,11894.823093157001,74559.07518913527,242.93035409893838,130,False,13.75000000000006
False,4002.3031201772646,-447.7386362207678,13298.924110370763,87347.94457373084,208.94356545218403,131,True,13.05000000000005
False,4007.6110987579905,-469.4259122128009,12966.684484601969,86599.34261624285,223.0931644666619,132,True,13.05000000000005
False,4004.9685119691467,-445.9874780634293,13193.952043596752,86149.15208921605,209.12339665165092,133,True,13.05000000000005
False,4014.643357497081,-428.2485359234128,12868.678888060595,86797.91612418303,197.91982567698474,134,True,12.900000000000048
False,4015.01018472844,-534.6577144491812,11440.578601454377,72937.21569339614,246.7003512059403,135,False,13.950000000000063
False,4012.007149980999,-527.6981820670755,11631.495319834226,73947.82451110224,244.90705323714167,136,False,13.850000000000062
False,4003.794911412578,-459.8395250968088,12445.465729214033,83646.5722609042,218.6064074876615,137,True,13.05000000000005
False,4011.1800343271448,-450.37232436321403,12886.505509134331,86012.79564850815,211.60531544248843,138,True,13.150000000000052
False,4007.0357289074536,-457.50026894082197,12876.134823332555,83356.87146518636,214.58557659105648,139,True,13.150000000000052
False,4012.385310501267,-516.9600483216512,11620.043377291935,73513.28105712036,237.89851248793315,140,False,13.850000000000062
False,4000.7497503330665,-475.62536026537873,13232.072099173874,85785.27891623552,223.70242329421558,141,True,13.250000000000053
False,4004.3582798741927,-467.2488967704467,12188.103937014042,79721.37633125577,218.24793674003658,142,True,13.250000000000053
False,4008.8258116902284,-486.1895478549353,12191.262746826247,79929.0482063419,225.71673849079295,143,True,13.550000000000058
