case,replicate,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
9.0,5.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9325842696629214,0.543273484774749,0.0,0.9213483146067416,0.0,point_mass,0.902621722846442,0.0,0.8539325842696629,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2000.0
10.0,4.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9213483146067416,0.543273484774749,0.0,0.898876404494382,0.0,point_mass,0.8951310861423222,0.0,0.8651685393258427,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2200.0
11.0,3.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9101123595505618,0.543273484774749,0.0,0.9325842696629214,0.0,point_mass,0.8876404494382023,0.0,0.8202247191011236,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2400.0
12.0,2.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.898876404494382,0.543273484774749,0.0,0.9101123595505618,0.0,point_mass,0.8801498127340824,0.0,0.8314606741573034,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2000.0
13.0,1.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.8876404494382022,0.543273484774749,0.0,0.8764044943820225,0.0,point_mass,0.8801498127340824,0.0,0.8764044943820225,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2200.0
14.0,0.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.8764044943820225,0.543273484774749,0.0,0.8876404494382022,0.0,point_mass,0.8689138576779026,0.0,0.8426966292134832,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2400.0
0.0,2.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.9887640449438202,0.4605325527507312,0.0,0.6179775280898876,0.0,point_mass,0.8352059925093632,0.0,0.898876404494382,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2000.0
1.0,1.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.9775280898876404,0.4605325527507312,0.0,0.6067415730337079,0.0,point_mass,0.8314606741573035,0.0,0.9101123595505618,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2200.0
2.0,0.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,1.0,0.4605325527507312,0.0,0.5955056179775281,0.0,point_mass,0.8277153558052435,0.0,0.8876404494382022,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2400.0
14.0,3.0,True,none,22.4753685059347,65.03993192136593,134960.06807863407,4.820420216286167,9.199999999999996,18744.230796715492,0.20101762627083736,0,5.449842516014087,False,True,3005.449842516014,0.20101762627083736,-21.803692300666302,4.983333333332723,21.803692300666302,3.0,0.9662921348314607,0.5221951946196988,0.0,0.3707865168539326,0.0,point_mass,0.7565543071161048,0.0,0.9325842696629214,64.59042455124724,-21.803692300666302,-8.545879211911393,500.37822852285996,2400.0
