config_hash,input.drag_cd,input.guidance_gain,input.mass_kg,input.run_seed,input.sensor_bias_x_m,input.sensor_bias_z_m,input.sensor_noise_m,input.thrust_n,input.wind_x_mps,input.wind_z_mps,output.crossrange_error_m,output.downrange_error_m,output.failed,output.failure_reason,output.final_x_m,output.final_y_m,output.final_z_m,output.fuel_used_kg,output.ground_violation_m,output.impulse_n_s,output.integrated_control_effort,output.load_violation_g,output.max_load_g,output.max_qbar_pa,output.miss_distance_m,output.miss_violation_m,output.mission_model,output.qbar_violation_pa,output.robustness_margin,output.success,output.terminal_altitude_m,output.terminal_flight_path_angle_deg,output.terminal_speed_mps,output.time_of_flight_s,run,seed,status
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.17525813479465166,2.7454236104065752,41.44102098060896,106755,-9.544430660553367,1.5411097322790304,17.248236315710407,2195.666076238073,5.846159949046349,0.6518615769447218,-0.8892506155255365,7.9905453446617685,False,none,4006.751159891805,4.883933330583329,-157.0345799082628,5.958333333332604,157.0345799082628,24152.326838618756,9.418789618621586,0.0,8.384789764799079,154576.23440408168,28.986123703564843,0.0,point_mass,0.0,45.42376559591832,True,-157.0345799082628,-8.60210247448802,373.24433811634526,11.000000000000021,0,106755,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.19671323616758243,2.0487322585973216,40.4323093516807,114674,1.3489963391401492,-9.199541520552746,17.60927686473337,2123.6715221263557,1.777081310178763,0.25654335542010454,-1.6241598123130856,-16.20132079836185,False,none,4015.6157877494875,3.9669901430353898,-177.28917847202624,6.066666666665924,177.28917847202624,23785.121047815264,9.73133816569806,0.0,8.616392550015858,150942.210864899,26.632617392167255,0.0,point_mass,0.0,49.05778913510099,True,-177.28917847202624,-10.17827038016255,352.878449022627,11.200000000000024,1,114674,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.19075138527053281,2.4885716049230355,42.21829103262333,122593,-0.9415692095807187,7.857601967634953,17.375639096778,2282.1351931160925,3.391211556934678,-1.1452828607550793,-0.690646648961381,0.6295787181097694,False,none,3000.6295787181098,-0.690646648961381,-16.790667514267952,4.739583333332753,16.790667514267952,19968.68293976583,0.6593554993813763,0.0,5.375579127953407,155320.08207024392,16.816654772299735,0.0,point_mass,0.0,44.67991792975608,True,-16.790667514267952,-7.670963592067436,535.2992540824189,8.74999999999999,2,122593,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.21102203384232807,2.415196079952111,43.54728930025203,130512,-15.967021951883416,3.6735089328780037,15.315049377762108,2320.5331601814546,7.681325080608619,1.4177231828886225,1.4217963292225828,-10.878440281504936,False,none,2989.121559718495,1.4217963292225828,-18.88151257987104,4.766666666666083,18.88151257987104,20420.69180959673,0.5641012667476657,0.0,5.29522179716037,149076.27282214919,21.837433115269942,0.0,point_mass,0.0,50.923727177850814,True,-18.88151257987104,-8.459881302281554,529.5111511040706,8.79999999999999,3,130512,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.2127079632751062,1.9527924570071016,41.85332571548504,138431,13.960389845269129,4.366052460392936,6.5659678134358055,2022.6576191630852,0.3664839154632157,-0.9115736543906787,0.1032950670497473,0.2051768798073681,False,none,3000.2051768798074,0.1032950670497473,-16.101165338574987,4.983333333332723,16.101165338574987,18608.450096300337,0.531369226997826,0.0,4.762516876956906,137563.72809523018,16.10280387643757,0.0,point_mass,0.0,62.43627190476982,True,-16.101165338574987,-8.551019971540901,501.6509963835174,9.199999999999996,4,138431,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.18815332337536894,2.813079739466793,40.83559311528565,146350,14.55825428829893,-3.0737385611229104,12.732451726222214,2231.947612916223,2.048551915505169,0.2762650558323422,0.6846760193447714,-13.273818330730137,False,none,4010.2204960479175,12.083443358175249,-161.5385243178686,5.931249999999274,161.5385243178686,24439.82636143256,9.345830246705694,0.0,8.791710091597343,158212.9685529899,33.382816989050795,0.0,point_mass,0.0,41.78703144701009,True,-161.5385243178686,-8.431221069030837,368.34874557644287,10.95000000000002,5,146350,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.18604222331178644,1.9720538702354953,40.90474913567388,154269,-15.353254571490792,-3.8989284481796482,4.871572861766413,2251.6267388308706,0.9398290028571119,1.6185385819320341,-0.5568446325062952,4.48559754970438,False,none,3004.4855975497044,-0.5568446325062952,-15.01466010344792,4.712499999999423,15.01466010344792,19589.152627828553,0.4784769015480114,0.0,5.4675775373923825,160198.05441069748,15.680264007494761,0.0,point_mass,0.0,39.80194558930251,True,-15.01466010344792,-8.72004324565127,541.9344390893121,8.699999999999989,6,154269,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.2004698447771884,2.4638636984216356,41.06937234571631,162188,12.882680414531283,-2.1707157809087767,15.545194708022263,2099.817043992638,1.0691885341759124,-0.5290114392048688,-1.4350200079347573,-16.528040635897923,False,none,4008.6980366913313,-8.042097064600963,-162.7054431141739,6.120833333332584,162.7054431141739,23727.93259711685,9.666318746987212,0.0,8.380767058918643,146925.25899687925,31.825812097787075,0.0,point_mass,0.0,53.07474100312076,True,-162.7054431141739,-8.742372256768233,351.0481471728718,11.300000000000026,7,162188,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.23702056460828289,2.8218412019734282,42.10437141411277,170107,2.1485579260486007,0.7174308084897368,7.078274275210269,2359.078002619261,0.9628852638092709,1.5757757635423082,-0.30291518239664417,2.9612034861429493,False,none,4000.883689604474,3.440768596771469,-145.15465710205066,5.985416666665934,145.15465710205066,26067.81192894286,9.774009836110558,0.0,9.331602824783802,152673.59470770264,30.308316108019252,0.0,point_mass,0.0,47.326405292297366,True,-145.15465710205066,-7.842513097721107,340.592611222823,11.050000000000022,8,170107,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.19498035411033376,2.139640876926758,40.86254936840936,178026,26.747391609287483,1.7942715387455213,9.728009911635233,2262.61957210814,1.0881184001005124,0.36193711999033573,-0.8723218908986664,4.341611579975506,False,none,3004.3416115799755,-0.8723218908986664,-12.083004623348655,4.712499999999423,12.083004623348655,19684.790277340795,0.4612928670440531,0.0,5.493879552862522,158845.81144527675,12.868936914935258,0.0,point_mass,0.0,41.154188554723255,True,-12.083004623348655,-8.163577565871499,540.1034082420258,8.699999999999989,9,178026,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.24311141183656926,2.6139823840695784,42.17459517380976,185945,-22.320916134737192,3.547358274162246,9.91347658928962,2243.780364503552,-6.710377010461972,0.3067886300660815,-0.2900374705093192,-7.126617383008579,False,none,4002.0716454866842,-2.1682221143355394,-153.8995598335446,6.174999999999244,153.8995598335446,25579.096155340434,10.442419308068349,0.0,8.957934210425865,146369.576761315,31.12763416561794,0.0,point_mass,0.0,53.630423238685005,True,-153.8995598335446,-8.492042294951718,317.5166513197603,11.400000000000027,10,185945,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.20570886590403328,1.7561647074792732,41.533205813924944,193864,-35.57271017059112,-6.098608214502862,13.884984386029915,2333.925160729404,5.219923829778955,-0.5395893814357235,-0.4878513764309551,0.1431330353721023,False,none,3000.143133035372,-0.4878513764309551,-14.735322562852748,4.685416666666093,14.735322562852748,20188.452640309377,0.6807724874222726,0.0,5.57855031043432,156995.3839449381,14.744090920182828,0.0,point_mass,0.0,43.004616055061895,True,-14.735322562852748,-8.92179232466683,539.8194385364477,8.649999999999988,11,193864,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.16316306453436696,2.8018079867773737,40.79750876456699,201783,-11.923034191589391,-8.22876529792287,6.141708184655854,2201.845214070039,2.7740441422882207,-1.0965822204909084,0.7677982635038191,-242.8221926321762,True,ground_intercept,2757.177807367824,0.7677982635038191,-1.342936165504598,4.468749999999453,1.342936165504598,18165.223016077878,0.48407331543465026,0.0,5.385870592670127,150014.4887268194,242.82712003896054,12.827120038960544,point_mass,0.0,-12.827120038960544,False,-1.342936165504598,-8.268545362280193,527.2290876631697,8.249999999999982,12,201783,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.25305664273647266,1.8403023430583505,42.71694690904837,209702,13.066559550480205,5.603919131818263,14.567126576777273,2125.5677966268327,-10.798746238615045,1.9876758789245859,-0.27344376526679903,-14.648495849909068,False,none,2985.351504150091,-0.27344376526679903,-12.765681644306285,4.983333333332723,12.765681644306285,19555.22372896685,0.5071981236615912,0.0,4.845665416631834,138715.80863278377,19.432339797393027,0.0,point_mass,0.0,61.28419136721623,True,-12.765681644306285,-8.570031271677733,492.29439961466244,9.199999999999996,13,209702,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.22714775152944444,1.83755566131357,42.9615992241986,217621,-17.604842820994882,-10.227369335250062,2.6899774131002037,2208.9486392670174,-0.3033329382181801,0.9554339669879837,-0.06247773046571394,-5.32052743312579,False,none,4003.39243685068,2.180552095017756,-184.90535240795032,6.174999999999244,184.90535240795032,25182.014487644017,10.107969116948489,0.0,8.564959143285705,145038.00757288112,24.273325565632298,0.0,point_mass,0.0,54.96199242711888,True,-184.90535240795032,-10.828079135738967,334.4032563107625,11.400000000000027,14,217621,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.2419433748194909,2.5459730268637197,39.767442691427874,225540,3.0052680658296707,-3.680158002388903,9.708268708705182,2304.0238726852162,-6.4903115569255885,-0.8145471012656544,0.5739151268318816,4.335774649601717,False,none,4009.093613951217,-10.211138923185034,-154.00265154994509,5.985416666665934,154.00265154994509,25459.4637931716,9.893744856775491,0.0,9.947250358980588,157371.31620015219,31.889210392983603,0.0,point_mass,0.0,42.62868379984781,True,-154.00265154994509,-8.367137329222636,327.39329735637284,11.050000000000022,15,225540,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.19948673308109605,2.318087483244303,41.68497337197199,233459,2.9422690665220848,8.478790281073236,14.45513607503461,2285.9649033758183,1.9954659585810304,-1.660235717763841,0.6920752643395112,-13.67671829956862,False,none,2986.3232817004314,0.6920752643395112,-9.327471654470463,4.712499999999423,9.327471654470463,19887.894659369606,0.5507904493553711,0.0,5.441123876056541,155681.24036801967,16.569047017925193,0.0,point_mass,0.0,44.31875963198033,True,-9.327471654470463,-7.985076726316212,535.5756491520481,8.699999999999989,16,233459,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.21644874265402983,2.243863752901635,40.43822020353362,241378,-5.884256510515105,-10.903543498737498,5.911268166382234,2275.139812301686,-10.350145380699145,-0.13503271414224466,0.6161964407854167,8.539619824799956,False,none,4006.7972666201604,-2.1960125324622837,-170.98402268661874,5.985416666665934,170.98402268661874,25140.294925933686,9.750299490628578,0.0,9.46694005720932,161098.7363669055,33.724781798094355,0.0,point_mass,0.0,38.901263633094494,True,-170.98402268661874,-9.380279161390861,341.04989307043127,11.050000000000022,17,241378,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.23085883267731297,2.67820362574824,40.409832065291276,249297,21.03250464346116,13.385238432753042,8.494528621631163,2093.0927981199216,-2.7306119433344653,-0.401386628920669,-0.254294060922998,-15.232776822188953,False,none,4010.506762812328,-1.4222445565780886,-138.26121230290946,6.202083333332574,138.26121230290946,23965.91253847299,10.097121528170259,0.0,8.792613045643936,142980.82268019172,24.47584518216147,0.0,point_mass,0.0,57.01917731980828,True,-138.26121230290946,-7.921837736023558,325.50595741992754,11.450000000000028,18,249297,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.2269198957545255,2.035417469082321,41.40693259494891,257216,23.477473118140907,1.4301290503576016,6.076583582268721,2340.2146899418826,-7.600729458870767,-0.9865303819398049,0.016830476838669235,-10.163778003440711,False,none,2989.8362219965593,0.016830476838669235,-12.032809480315848,4.712499999999423,12.032809480315848,20359.867802494373,0.43893944353682346,0.0,5.561261981679291,158761.45300266496,15.750910150139097,0.0,point_mass,0.0,41.23854699733504,True,-12.032809480315848,-8.310039582089018,531.4141348266064,8.699999999999989,19,257216,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.23252214543923094,2.46549796661542,41.17744596206234,265135,4.429019098944455,4.080153084683509,15.990401967347225,2150.7192600344897,7.033856294179348,-1.2024410677339745,2.255899470159923,-6.017140837529041,False,none,4010.7478972398517,5.672516491647069,-157.90580998195605,6.147916666665914,157.90580998195605,24410.66360139136,10.074396826793272,0.0,8.765271961562412,141187.5506460334,25.094332067117136,0.0,point_mass,0.0,58.8124493539666,True,-157.90580998195605,-8.90178092237398,333.60050892173274,11.350000000000026,20,265135,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.21812153134878423,2.6789200937102784,40.4681228070887,273054,-1.8107837607502941,-8.76854592958758,0.6035047080452792,1968.3561634979515,4.943344477180468,-0.6384338090988942,-0.08495686394869187,-290.85700194527635,True,ground_intercept,2709.1429980547236,-0.08495686394869187,-1.0863097926701082,4.658333333332763,1.0863097926701082,16927.863006082414,0.508727721850976,0.0,4.802113416380609,125091.13144379994,290.8590429524736,60.8590429524736,point_mass,0.0,-60.8590429524736,False,-1.0863097926701082,-8.662558623182125,483.52749224513,8.599999999999987,21,273054,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.23955427285126424,2.6006041686362247,43.48878330609324,280973,2.0276687223628174,3.140496087563033,3.323510632564098,2229.550489041066,3.6863700375516646,-1.455387440560519,0.35194174224124214,8.418775016273685,False,none,4012.3103559680026,0.8078813473803311,-157.5398183266779,6.202083333332574,157.5398183266779,25528.35309952021,10.221342610544498,0.0,8.491293614963624,140062.20467820755,32.54460280865203,0.0,point_mass,0.0,59.93779532179245,True,-157.5398183266779,-8.548717050491947,330.38913537728564,11.450000000000028,22,280973,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.25178675087746816,2.4088121596747456,42.151255305017784,288892,14.668545024977377,-6.738877191908996,8.300773872484507,2218.4796015009592,9.047266395877953,0.4983987994967654,0.29039873339759403,-6.922508703453786,False,none,4008.868393505898,-0.5409965128139363,-166.91471630547997,6.147916666665914,166.91471630547997,25179.74347703582,9.933855171916512,0.0,8.901970379436547,140045.64810182466,31.621322663999667,0.0,point_mass,0.0,59.95435189817535,True,-166.91471630547997,-8.983481957781493,332.263871278345,11.350000000000026,23,288892,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.22494697382920167,2.3589826424569553,41.39175532564432,296811,-4.246045438248518,12.845776530531854,2.17037950313585,2337.3189173553524,10.55710792770656,1.9725242699610543,0.11418978188594515,-5.164247828747648,False,none,2994.8357521712524,0.11418978188594515,-7.044712883262891,4.685416666666093,7.044712883262891,20217.808635123878,0.47052283729331856,0.0,5.607236707675246,152203.04423301073,8.73558667466714,0.0,point_mass,0.0,47.79695576698927,True,-7.044712883262891,-7.673274101817005,537.6790836180523,8.649999999999988,24,296811,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.1791089369767753,2.029258685488365,42.37624731986598,304730,-2.653230821586611,-5.303646651051644,13.435495459524244,2165.19334331365,-10.922711946541979,-1.117463715610972,1.5046321419715827,-1.6298335721739932,False,none,2998.370166427826,1.5046321419715827,-22.202439860495964,4.847916666666073,22.202439860495964,19378.480422657223,0.5783168218311161,0.0,5.050602301400421,155874.40698350235,22.312969571856176,0.0,point_mass,0.0,44.125593016497646,True,-22.202439860495964,-8.584291133910767,522.8203932361672,8.949999999999992,25,304730,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.2236594287260622,2.8412982164626843,41.1699206578369,312649,-16.73094659426062,-12.942090765660687,16.53343667528515,2070.344357455858,8.955904199151828,0.024105493827008342,0.6519244960723403,-308.8530933358338,True,ground_intercept,2691.146906664166,0.6519244960723403,-3.1406481791295247,4.577083333332773,3.1406481791295247,17494.40982050202,0.5157302087100015,0.0,4.9800710031566195,126615.4779889552,308.86974914945444,78.86974914945444,point_mass,0.0,-78.86974914945444,False,-3.1406481791295247,-8.598614474928493,490.31183382519504,8.449999999999985,26,312649,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.19803158219116235,1.9258125829907764,42.807474311011916,320568,-6.4288814489059005,-13.72757798152308,10.448476375230259,2318.3969821648775,7.897068948010004,-1.0273751265103956,0.30501413845163744,4.132095087992184,False,none,4018.848470334981,-1.5727640380383796,-182.32157920493634,5.931249999999274,182.32157920493634,25386.446954705345,9.306063856942647,0.0,8.728990758999975,156221.62371445345,23.77242664922853,0.0,point_mass,0.0,43.77837628554655,True,-182.32157920493634,-10.271326614427005,380.0164285507908,10.95000000000002,27,320568,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.22160384438277328,2.7294473644246975,42.365375215879816,328487,0.4419583303932709,-1.1868886408408708,4.221492794732404,2145.2005314781313,-3.3775687127459015,-0.02651786947932055,-0.1350498448271336,-234.64014994957824,True,ground_intercept,2765.3598500504218,-0.1350498448271336,-2.9129640743593543,4.658333333332763,2.9129640743593543,18448.724570711976,0.4983362103570021,0.0,4.989402970337737,135648.64940183714,234.65826975949443,4.658269759494431,point_mass,0.0,-4.658269759494431,False,-2.9129640743593543,-8.362936225929031,494.88838487192265,8.599999999999987,28,328487,complete
fd7375f9ae19308827c2c445257d69358ef9774785d689f0e642b0bf46a9e56d,0.18210349587720143,2.4611057478695777,42.84535258007876,336406,18.069650896094206,5.131790348772016,8.79733568619328,2201.15251650529,-2.3417444138013503,1.5338669457077372,0.3311066002457552,-7.459586332293384,False,none,2992.5404136677066,0.3311066002457552,-17.22583525843276,4.820833333332743,17.22583525843276,19590.257396897072,0.504078745668729,0.0,5.0994335392510335,152787.59251427648,18.774569507190566,0.0,point_mass,0.0,47.212407485723524,True,-17.22583525843276,-8.114475373077347,526.1486962951656,8.899999999999991,29,336406,complete
