success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,optimizer_score,pareto,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,12.05074531007178,69.11522673782406,130884.77326217594,4.461814708306764,9.399999999999999,17938.74502789061,9.76431515461244,22,0.0,0,-3.6012470386122004,False,True,2996.398752961388,0.0,-11.500064447432626,6.257479304234039,2,11.500064447432626,1.4627975708637504,0.935483870967742,0.4615623464896177,0.0,0.8709677419354839,0.0,point_mass,19.622206327288787,True,0.924731182795699,0.0,0.967741935483871,68.87421183162262,-11.500064447432626,-9.469443651488243,489.1255029704397,1908.3771306266633
True,none,20.371813482455188,69.89220462870105,130107.79537129895,4.459337894854253,9.399999999999999,17923.63369695584,10.179507098848994,7,0.0,0,-9.101416273472296,False,True,2990.8985837265277,0.0,-18.225668887064657,6.002255257222004,0,18.225668887064657,1.726933286083574,0.967741935483871,0.5047799799155,0.0,0.5483870967741935,0.0,point_mass,27.811616485105873,True,0.8387096774193549,0.0,1.0,69.48476835905194,-18.225668887064657,-9.13682004512916,487.5108977542525,1906.7695422293452
True,none,2.8909911188408177,46.84160023302448,153158.39976697552,5.323568469763887,8.79999999999999,19925.26335230582,9.71540317811231,30,0.0,0,-2.3768176914318246,False,True,2997.623182308568,0.0,1.6457725574675184,5.887558030413061,3,0.0,1.4113677395996573,0.6129032258064516,0.3979663853168217,0.0,1.0,0.0,point_mass,15.79001443619297,True,0.6774193548387096,0.0,0.4193548387096775,46.783780410647665,1.6457725574675184,-9.259791825792014,529.6019227278747,2264.2344718529366
False,ground_intercept,255.92872848995933,-25.928728489959326,124608.3877293727,4.610126001441596,8.79999999999999,17303.53225232572,11.436056790791948,13,0.0,0,-255.91008684164672,True,True,2744.0899131583533,0.0,-3.0889349601700604,5.001724024845203,1,3.0889349601700604,2.761400914529806,1.0,0.5259693763702721,0.0,0.09677419354838712,25.928728489959326,point_mass,277.12157001577896,True,0.3978494623655913,0.0,0.09677419354838712,-31.047303059758512,-3.0889349601700604,-8.54507912908834,477.48708992230945,1966.3104832188253
