success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,optimizer_score,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,12.05074531007178,69.11522673782406,130884.77326217594,4.461814708306764,9.399999999999999,17938.74502789061,9.76431515461244,22,0.0,0,-3.6012470386122004,False,True,2996.398752961388,0.0,-11.500064447432626,6.257479304234039,2,11.500064447432626,1.4627975708637504,0.935483870967742,0.4615623464896177,0.0,0.8709677419354839,0.0,point_mass,19.622206327288787,0.924731182795699,0.0,0.967741935483871,68.87421183162262,-11.500064447432626,-9.469443651488243,489.1255029704397,1908.3771306266633
True,none,20.371813482455188,69.89220462870105,130107.79537129895,4.459337894854253,9.399999999999999,17923.63369695584,10.179507098848994,7,0.0,0,-9.101416273472296,False,True,2990.8985837265277,0.0,-18.225668887064657,6.002255257222004,0,18.225668887064657,1.726933286083574,0.967741935483871,0.5047799799155,0.0,0.5483870967741935,0.0,point_mass,27.811616485105873,0.8387096774193549,0.0,1.0,69.48476835905194,-18.225668887064657,-9.13682004512916,487.5108977542525,1906.7695422293452
True,none,2.8909911188408177,46.84160023302448,153158.39976697552,5.323568469763887,8.79999999999999,19925.26335230582,9.71540317811231,30,0.0,0,-2.3768176914318246,False,True,2997.623182308568,0.0,1.6457725574675184,5.887558030413061,3,0.0,1.4113677395996573,0.6129032258064516,0.3979663853168217,0.0,1.0,0.0,point_mass,15.79001443619297,0.6774193548387096,0.0,0.4193548387096775,46.783780410647665,1.6457725574675184,-9.259791825792014,529.6019227278747,2264.2344718529366
False,ground_intercept,255.92872848995933,-25.928728489959326,124608.3877293727,4.610126001441596,8.79999999999999,17303.53225232572,11.436056790791948,13,0.0,0,-255.91008684164672,True,True,2744.0899131583533,0.0,-3.0889349601700604,5.001724024845203,1,3.0889349601700604,2.761400914529806,1.0,0.5259693763702721,0.0,0.09677419354838712,25.928728489959326,point_mass,277.12157001577896,0.3978494623655913,0.0,0.09677419354838712,-31.047303059758512,-3.0889349601700604,-8.54507912908834,477.48708992230945,1966.3104832188253
True,none,14.856488492547262,68.68629972997616,131313.70027002384,4.542205836388055,9.349999999999998,18162.290175780614,11.83517442840025,26,0.0,1,-10.149262550077765,False,True,2989.8507374499222,0.0,-10.849318873495157,5.135116543289328,3,10.849318873495157,1.5122846229040974,0.8387096774193549,0.4565407643543725,0.0,0.8064516129032258,0.0,point_mass,22.715833708831454,0.8494623655913979,0.0,0.9032258064516129,68.38916996012522,-10.849318873495157,-9.425025399985598,489.959966052541,1942.4909278909704
True,none,13.981734275621362,50.793435678683686,149206.5643213163,5.2463884245766845,8.84999999999999,19764.55574677247,11.761405643843586,27,0.0,1,-13.97577136633845,False,True,2986.0242286336616,0.0,-0.4082989957366028,4.890997023822038,3,0.4082989957366028,1.5058420014043936,0.6774193548387097,0.40624031935934,0.0,0.8387096774193549,0.0,point_mass,26.127274670591277,0.6666666666666666,0.0,0.4838709677419355,50.51380099317126,-0.4082989957366028,-9.164552230136024,522.6296561955627,2233.283135228523
True,none,3.8253430312459895,46.40560038032866,153594.39961967134,5.3582816742690795,8.79999999999999,20053.06684786827,10.543550791150356,0,0.0,1,3.0117003074606146,False,True,3003.0117003074606,0.0,-2.3585823209597523,5.425117318921707,0,2.3585823209597523,1.5248799686277699,0.5806451612903226,0.40252607031900683,0.0,0.967741935483871,0.0,point_mass,16.917569822064962,0.6451612903225806,0.0,0.3870967741935484,46.32909351970374,-2.3585823209597523,-9.105107209850344,530.2161122777547,2278.7575963486756
True,none,17.430900289419167,52.79007251928386,147209.92748071614,5.1349027109848056,8.899999999999991,19461.73265283942,10.354629399892536,16,0.0,2,-17.395374062415613,False,True,2982.6046259375844,0.0,1.112315660373155,5.586873056084698,2,0.0,1.4339657886631416,0.7096774193548387,0.40644857348547914,0.0,0.7419354838709677,0.0,point_mass,28.974122064366007,0.6774193548387096,0.0,0.5806451612903226,52.44145451349548,1.112315660373155,-9.275409256176083,519.1687718902318,2186.7115340268924
True,none,18.824278263352166,56.44126806037972,143558.73193962028,4.968874425999523,8.999999999999993,19057.536055491277,9.649443323737064,29,0.0,2,-18.604093624972847,False,True,2981.395906375027,0.0,-2.8707407631754993,6.062525892669157,3,2.8707407631754993,1.5036481926316478,0.7741935483870968,0.41918376383570266,0.0,0.6451612903225806,0.0,point_mass,29.41562410978648,0.6774193548387096,0.0,0.6129032258064516,56.064782495112674,-2.8707407631754993,-9.242937475699243,512.5307574255135,2117.504006165704
True,none,6.96583821078194,42.324088832351556,157675.91116764845,5.499163428564567,8.699999999999989,20320.20645323182,9.788052920888706,11,0.0,2,-0.7662912861342193,False,True,2999.233708713866,0.0,-6.923561196637501,5.777451394783284,1,6.923561196637501,1.7596719494812374,0.4838709677419355,0.4159145219592579,0.0,0.935483870967742,0.0,point_mass,20.93743133916103,0.5806451612903226,0.0,0.32258064516129037,42.18477206813592,-6.923561196637501,-8.71280630974961,537.1209995535663,2335.65591416458
